shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
desde_artes_a_odontologia_sin_milla,9.935512,-84.052232,0
desde_artes_a_odontologia_sin_milla,9.93553,-84.052302,1
desde_artes_a_odontologia_sin_milla,9.935543,-84.052335,2
desde_artes_a_odontologia_sin_milla,9.9356,-84.052395,3
desde_artes_a_odontologia_sin_milla,9.935653,-84.052428,4
desde_artes_a_odontologia_sin_milla,9.935719,-84.05244,5
desde_artes_a_odontologia_sin_milla,9.935837,-84.052417,6
desde_artes_a_odontologia_sin_milla,9.935946,-84.05238,7
desde_artes_a_odontologia_sin_milla,9.936088,-84.052334,8
desde_artes_a_odontologia_sin_milla,9.936204,-84.052298,9
desde_artes_a_odontologia_sin_milla,9.936293,-84.052271,10
desde_artes_a_odontologia_sin_milla,9.936392,-84.052241,11
desde_artes_a_odontologia_sin_milla,9.936531,-84.052237,12
desde_artes_a_odontologia_sin_milla,9.936596,-84.052259,13
desde_artes_a_odontologia_sin_milla,9.936616,-84.052341,14
desde_artes_a_odontologia_sin_milla,9.936588,-84.052426,15
desde_artes_a_odontologia_sin_milla,9.936536,-84.05245,16
desde_artes_a_odontologia_sin_milla,9.936449,-84.052447,17
desde_artes_a_odontologia_sin_milla,9.936358,-84.052438,18
desde_artes_a_odontologia_sin_milla,9.93633,-84.052426,19
desde_artes_a_odontologia_sin_milla,9.936301,-84.052425,20
desde_artes_a_odontologia_sin_milla,9.936177,-84.052446,21
desde_artes_a_odontologia_sin_milla,9.936069,-84.052469,22
desde_artes_a_odontologia_sin_milla,9.935866,-84.052513,23
desde_artes_a_odontologia_sin_milla,9.935805,-84.052528,24
desde_artes_a_odontologia_sin_milla,9.935717,-84.052535,25
desde_artes_a_odontologia_sin_milla,9.935629,-84.052517,26
desde_artes_a_odontologia_sin_milla,9.93553,-84.052433,27
desde_artes_a_odontologia_sin_milla,9.935456,-84.052351,28
desde_artes_a_odontologia_sin_milla,9.935416,-84.052245,29
desde_artes_a_odontologia_sin_milla,9.935412,-84.052098,30
desde_artes_a_odontologia_sin_milla,9.935361,-84.051767,31
desde_artes_a_odontologia_sin_milla,9.935335,-84.051596,32
desde_artes_a_odontologia_sin_milla,9.935278,-84.051458,33
desde_artes_a_odontologia_sin_milla,9.935374,-84.051052,34
desde_artes_a_odontologia_sin_milla,9.935485,-84.050649,35
desde_artes_a_odontologia_sin_milla,9.935557,-84.050345,36
desde_artes_a_odontologia_sin_milla,9.935606,-84.050141,37
desde_artes_a_odontologia_sin_milla,9.93564,-84.049919,38
desde_artes_a_odontologia_sin_milla,9.935552,-84.049524,39
desde_artes_a_odontologia_sin_milla,9.935513,-84.049317,40
desde_artes_a_odontologia_sin_milla,9.935448,-84.049026,41
desde_artes_a_odontologia_sin_milla,9.93539,-84.04879,42
desde_artes_a_odontologia_sin_milla,9.935373,-84.048645,43
desde_artes_a_odontologia_sin_milla,9.935277,-84.048637,44
desde_artes_a_odontologia_sin_milla,9.935293,-84.048378,45
desde_artes_a_odontologia_sin_milla,9.935247,-84.048124,46
desde_artes_a_odontologia_sin_milla,9.935142,-84.047806,47
desde_artes_a_odontologia_sin_milla,9.935003,-84.047381,48
desde_artes_a_odontologia_sin_milla,9.93492,-84.047086,49
desde_artes_a_odontologia_sin_milla,9.934797,-84.04642,50
desde_artes_a_odontologia_sin_milla,9.934686,-84.045886,51
desde_artes_a_odontologia_sin_milla,9.934612,-84.045614,52
desde_artes_a_odontologia_sin_milla,9.93481,-84.045608,53
desde_artes_a_odontologia_sin_milla,9.934954,-84.045608,54
desde_artes_a_odontologia_sin_milla,9.935021,-84.045587,55
desde_artes_a_odontologia_sin_milla,9.935251,-84.045582,56
desde_artes_a_odontologia_sin_milla,9.935336,-84.045579,57
desde_artes_a_odontologia_sin_milla,9.93558,-84.045528,58
desde_artes_a_odontologia_sin_milla,9.935661,-84.045455,59
desde_artes_a_odontologia_sin_milla,9.935939,-84.045403,60
desde_artes_a_odontologia_sin_milla,9.93618,-84.045356,61
desde_artes_a_odontologia_sin_milla,9.936299,-84.045362,62
desde_artes_a_odontologia_sin_milla,9.936471,-84.045454,63
desde_artes_a_odontologia_sin_milla,9.936647,-84.045549,64
desde_artes_a_odontologia_sin_milla,9.93668,-84.045567,65
desde_artes_a_odontologia_sin_milla,9.936771,-84.045592,66
desde_artes_a_odontologia_sin_milla,9.93685,-84.045588,67
desde_artes_a_odontologia_sin_milla,9.936939,-84.045546,68
desde_artes_a_odontologia_sin_milla,9.937082,-84.045441,69
desde_artes_a_odontologia_sin_milla,9.937242,-84.045279,70
desde_artes_a_odontologia_sin_milla,9.937332,-84.045144,71
desde_artes_a_odontologia_sin_milla,9.937479,-84.044884,72
desde_artes_a_odontologia_sin_milla,9.937594,-84.044685,73
desde_artes_a_odontologia_sin_milla,9.937757,-84.044388,74
desde_artes_a_odontologia_sin_milla,9.937927,-84.044098,75
desde_artes_a_odontologia_sin_milla,9.938099,-84.0438,76
desde_artes_a_odontologia_sin_milla,9.937961,-84.043615,77
desde_artes_a_odontologia_sin_milla,9.937911,-84.043443,78
desde_artes_a_odontologia_sin_milla,9.937885,-84.043219,79
desde_artes_a_odontologia_sin_milla,9.937925,-84.042938,80
desde_artes_a_odontologia_sin_milla,9.937984,-84.042569,81
desde_artes_a_odontologia_sin_milla,9.937997,-84.042476,82
desde_artes_a_odontologia_sin_milla,9.938136,-84.042177,83
desde_artes_a_odontologia_sin_milla,9.938162,-84.041997,84
desde_artes_a_odontologia_sin_milla,9.938153,-84.041849,85
desde_artes_a_odontologia_sin_milla,9.938127,-84.041722,86
desde_artes_a_odontologia_sin_milla,9.938076,-84.04165,87
desde_artes_a_odontologia_sin_milla,9.938014,-84.041632,88
desde_artes_a_odontologia_sin_milla,9.937919,-84.041635,89
desde_artes_a_odontologia_sin_milla,9.937895,-84.041069,90
desde_artes_a_odontologia_sin_milla,9.938461,-84.040928,91
desde_artes_a_odontologia_sin_milla,9.938688,-84.040964,92
desde_artes_a_odontologia_sin_milla,9.938847,-84.041132,93
desde_artes_a_odontologia_sin_milla,9.93915,-84.041655,94
desde_artes_a_odontologia_sin_milla,9.939284,-84.041794,95
desde_artes_a_odontologia_sin_milla,9.939423,-84.041884,96
desde_artes_a_odontologia_sin_milla,9.9395,-84.041907,97
desde_artes_a_odontologia_sin_milla,9.9395,-84.042248,98
desde_artes_a_odontologia_sin_milla,9.939437,-84.043074,99
desde_artes_a_odontologia_sin_milla,9.939425,-84.043329,100
desde_artes_a_odontologia_sin_milla,9.939723,-84.043262,101
desde_artes_a_odontologia_sin_milla,9.939785,-84.043294,102
desde_artes_a_odontologia_sin_milla,9.939819,-84.043382,103
desde_artes_a_odontologia_sin_milla,9.939988,-84.044031,104
desde_artes_a_odontologia_sin_milla,9.94016,-84.044666,105
desde_artes_a_odontologia_sin_milla,9.940269,-84.044825,106
desde_artes_a_odontologia_sin_milla,9.940365,-84.045187,107
desde_artes_a_odontologia_sin_milla,9.940488,-84.045629,108
desde_artes_a_odontologia_sin_milla,9.940636,-84.045593,109
desde_artes_a_odontologia_sin_milla,9.940792,-84.045069,110
desde_artes_a_odontologia_sin_milla,9.940949,-84.044751,111
desde_artes_a_odontologia_sin_milla,9.941045,-84.044652,112
desde_artes_a_odontologia_sin_milla,9.941228,-84.044413,113
desde_artes_a_odontologia_sin_milla,9.941689,-84.04392,114
desde_artes_a_odontologia_sin_milla,9.942062,-84.043443,115
desde_artes_a_odontologia_sin_milla,9.942349,-84.043044,116
desde_artes_a_odontologia_sin_milla,9.942648,-84.042617,117
desde_artes_a_odontologia_sin_milla,9.9429,-84.042304,118
desde_artes_a_odontologia_sin_milla,9.943062,-84.042017,119
desde_artes_a_odontologia_sin_milla,9.943159,-84.041827,120
desde_artes_a_odontologia_sin_milla,9.943531,-84.041836,121
desde_artes_a_odontologia_sin_milla,9.943807,-84.041786,122
desde_artes_a_odontologia_sin_milla,9.943985,-84.041762,123
desde_artes_a_odontologia_sin_milla,9.944074,-84.041967,124
desde_artes_a_odontologia_sin_milla,9.944116,-84.042192,125
desde_artes_a_odontologia_sin_milla,9.944102,-84.042474,126
desde_artes_a_odontologia_sin_milla,9.944082,-84.042712,127
desde_artes_a_odontologia_sin_milla,9.944082,-84.042904,128
desde_artes_a_odontologia_sin_milla,9.943889,-84.042914,129
desde_artes_a_odontologia_sin_milla,9.94372,-84.042914,130
desde_artes_a_odontologia_sin_milla,9.943517,-84.042883,131
desde_artes_a_odontologia_sin_milla,9.943303,-84.042857,132
desde_artes_a_odontologia_sin_milla,9.943216,-84.042842,133
desde_artes_a_odontologia_sin_milla,9.943201,-84.042919,134
desde_artes_a_odontologia_sin_milla,9.943237,-84.043064,135
desde_artes_a_odontologia_sin_milla,9.943335,-84.043225,136
desde_artes_a_odontologia_sin_milla,9.943449,-84.043539,137
desde_artes_a_odontologia_sin_milla,9.943465,-84.043737,138
desde_artes_a_odontologia_sin_milla,9.943522,-84.044043,139
desde_artes_a_odontologia_sin_milla,9.943595,-84.044274,140
desde_artes_a_odontologia_sin_milla,9.943701,-84.044514,141
desde_artes_a_odontologia_sin_milla,9.943798,-84.04475,142
desde_artes_a_odontologia_sin_milla,9.943877,-84.044878,143
desde_artes_a_odontologia_sin_milla,9.943965,-84.04495,144
desde_artes_a_odontologia_sin_milla,9.944544,-84.045007,145
desde_artes_a_odontologia_sin_milla,9.944949,-84.04501,146
desde_artes_a_odontologia_sin_milla,9.945035,-84.045073,147
desde_artes_a_odontologia_sin_milla,9.945066,-84.045399,148
desde_artes_a_odontologia_sin_milla,9.945094,-84.0455,149
desde_artes_a_odontologia_sin_milla,9.945166,-84.045538,150
desde_artes_a_odontologia_sin_milla,9.945693,-84.045502,151
desde_artes_a_odontologia_sin_milla,9.945768,-84.045457,152
desde_artes_a_odontologia_sin_milla,9.945819,-84.045357,153
desde_artes_a_odontologia_sin_milla,9.945868,-84.045249,154
desde_artes_a_odontologia_sin_milla,9.945945,-84.045175,155
desde_artes_a_odontologia_sin_milla,9.946289,-84.04515,156
desde_artes_a_odontologia_sin_milla,9.946388,-84.045162,157
desde_artes_a_odontologia_sin_milla,9.946445,-84.045199,158
desde_artes_a_odontologia_sin_milla,9.94649,-84.045251,159
desde_artes_con_milla,9.935511,-84.05222,0
desde_artes_con_milla,9.935531,-84.052293,1
desde_artes_con_milla,9.935547,-84.052335,2
desde_artes_con_milla,9.9356,-84.052389,3
desde_artes_con_milla,9.935657,-84.052427,4
desde_artes_con_milla,9.935724,-84.052439,5
desde_artes_con_milla,9.935838,-84.052416,6
desde_artes_con_milla,9.935893,-84.0524,7
desde_artes_con_milla,9.935948,-84.05238,8
desde_artes_con_milla,9.936186,-84.052303,9
desde_artes_con_milla,9.936397,-84.052241,10
desde_artes_con_milla,9.936536,-84.052236,11
desde_artes_con_milla,9.936737,-84.052308,12
desde_artes_con_milla,9.937086,-84.052432,13
desde_artes_con_milla,9.937336,-84.052529,14
desde_artes_con_milla,9.93758,-84.052644,15
desde_artes_con_milla,9.937749,-84.052704,16
desde_artes_con_milla,9.937792,-84.052711,17
