trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint,shape_dist_traveled,stop_headsign
desde_educacion_a_odontologia_sin_milla_entresemana_06:20,06:20:00,06:20:00,bUCR_0_01,0,1,0,
desde_educacion_a_odontologia_sin_milla_entresemana_06:20,06:28:29,06:28:29,bUCR_0_05,1,0,1.555,
desde_educacion_a_odontologia_sin_milla_entresemana_06:20,06:29:45,06:29:45,bUCR_0_06,2,0,1.792,
desde_educacion_a_odontologia_sin_milla_entresemana_06:20,06:31:14,06:31:14,bUCR_0_07,3,0,2.073,
desde_educacion_a_odontologia_sin_milla_entresemana_06:20,06:34:19,06:34:19,bUCR_0_08,4,0,2.598,
desde_educacion_a_odontologia_sin_milla_entresemana_06:20,06:35:24,06:35:24,bUCR_0_09,5,0,2.807,
desde_educacion_a_odontologia_sin_milla_entresemana_06:20,06:38:20,06:38:20,bUCR_0_10,7,0,3.995,
desde_educacion_a_odontologia_sin_milla_entresemana_06:20,06:40:34,06:40:34,bUCR_0_11,8,0,4.372,
desde_educacion_a_odontologia_sin_milla_entresemana_06:40,06:40:00,06:40:00,bUCR_0_01,0,1,0,
desde_educacion_a_odontologia_sin_milla_entresemana_06:40,06:48:29,06:48:29,bUCR_0_05,1,0,1.555,
desde_educacion_a_odontologia_sin_milla_entresemana_06:40,06:49:45,06:49:45,bUCR_0_06,2,0,1.792,
desde_educacion_a_odontologia_sin_milla_entresemana_06:40,06:51:14,06:51:14,bUCR_0_07,3,0,2.073,
desde_educacion_a_odontologia_sin_milla_entresemana_06:40,06:54:19,06:54:19,bUCR_0_08,4,0,2.598,
desde_educacion_a_odontologia_sin_milla_entresemana_06:40,06:55:24,06:55:24,bUCR_0_09,5,0,2.807,
desde_educacion_a_odontologia_sin_milla_entresemana_06:40,06:58:20,06:58:20,bUCR_0_10,7,0,3.995,
desde_educacion_a_odontologia_sin_milla_entresemana_06:40,07:00:34,07:00:34,bUCR_0_11,8,0,4.372,
desde_educacion_a_odontologia_sin_milla_entresemana_07:10,07:10:00,07:10:00,bUCR_0_01,0,1,0,
desde_educacion_a_odontologia_sin_milla_entresemana_07:10,07:18:29,07:18:29,bUCR_0_05,1,0,1.555,
desde_educacion_a_odontologia_sin_milla_entresemana_07:10,07:19:45,07:19:45,bUCR_0_06,2,0,1.792,
desde_educacion_a_odontologia_sin_milla_entresemana_07:10,07:21:14,07:21:14,bUCR_0_07,3,0,2.073,
desde_educacion_a_odontologia_sin_milla_entresemana_07:10,07:24:19,07:24:19,bUCR_0_08,4,0,2.598,
desde_educacion_a_odontologia_sin_milla_entresemana_07:10,07:25:24,07:25:24,bUCR_0_09,5,0,2.807,
desde_educacion_a_odontologia_sin_milla_entresemana_07:10,07:28:20,07:28:20,bUCR_0_10,7,0,3.995,
desde_educacion_a_odontologia_sin_milla_entresemana_07:10,07:30:34,07:30:34,bUCR_0_11,8,0,4.372,
desde_educacion_a_odontologia_sin_milla_entresemana_07:30,07:30:00,07:30:00,bUCR_0_01,0,1,0,
desde_educacion_a_odontologia_sin_milla_entresemana_07:30,07:38:29,07:38:29,bUCR_0_05,1,0,1.555,
desde_educacion_a_odontologia_sin_milla_entresemana_07:30,07:39:45,07:39:45,bUCR_0_06,2,0,1.792,
desde_educacion_a_odontologia_sin_milla_entresemana_07:30,07:41:14,07:41:14,bUCR_0_07,3,0,2.073,
desde_educacion_a_odontologia_sin_milla_entresemana_07:30,07:44:19,07:44:19,bUCR_0_08,4,0,2.598,
desde_educacion_a_odontologia_sin_milla_entresemana_07:30,07:45:24,07:45:24,bUCR_0_09,5,0,2.807,
desde_educacion_a_odontologia_sin_milla_entresemana_07:30,07:48:20,07:48:20,bUCR_0_10,7,0,3.995,
