stop_id,stop_name,stop_code,stop_desc,stop_lat,stop_lon,stop_point,stop_heading,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,shelter,bench,lit,bay,device_charging_station
bUCR_0_01,Educación,,Frente al jardín de la Facultad de Educación (FE),9.935610136323218,-84.04899295728595,SRID=4326;POINT (-84.04899295728595 9.935610136323218),northwest,bUCR_0,https://bus.ucr.ac.cr/paradas/bUCR_0_01,0,,1,yes,yes,yes,yes,yes
bUCR_0_02,Artes Plásticas,,Nuevo edificio de la Escuela de Artes Plásticas (EAP),9.935501598287884,-84.05217559901489,SRID=4326;POINT (-84.05217559901489 9.935501598287884),west,bUCR_0,https://bus.ucr.ac.cr/paradas/bUCR_0_02,0,,1,yes,yes,yes,yes,yes
bUCR_0_03,Ciencias de la Salud,,"Frente al antiguo edificio de la Facultad de Odontología (FOd), diagonal al parqueo de la Biblioteca de Ciencias de la Salud",9.93860832346218,-84.0517499001992,SRID=4326;POINT (-84.0517499001992 9.93860832346218),northeast,bUCR_0,https://bus.ucr.ac.cr/paradas/bUCR_0_03,0,,1,yes,yes,yes,yes,no
bUCR_0_04,Microbiología,,"Esquina noreste del parqueo de las Escuelas de Artes Musicales (EAM), Química (EQ) y Biología (EB) y la Facultad de Microbiología (FMic)",9.93832361909286,-84.04876049840074,SRID=4326;POINT (-84.04876049840074 9.93832361909286),southeast,bUCR_0,https://bus.ucr.ac.cr/paradas/bUCR_0_04,0,,1,yes,yes,yes,yes,yes
bUCR_0_05,LANAMME,,"Junto al parqueo del Centro de Transferencia Tecnológica (CTT), diagonal al Laboratorio Nacional de Materiales y Modelos Estructurales (LANAMME)",9.935903915437937,-84.04537504744147,SRID=4326;POINT (-84.04537504744147 9.935903915437937),north,bUCR_0,https://bus.ucr.ac.cr/paradas/bUCR_0_05,0,bUCR_LA,2,no,no,no,no,no
bUCR_0_06,Ingeniería,A,Costado norte del nuevo edificio de la Facultad de Ingeniería (FI),9.937467311441507,-84.04467644300775,SRID=4326;POINT (-84.04467644300775 9.937467311441507),northeast,bUCR_0,https://bus.ucr.ac.cr/paradas/bUCR_0_06,0,bUCR_FI,2,yes,yes,yes,yes,no
bUCR_0_07,Ciencias Sociales,,Entre la Facultad de Ciencias Sociales (FCS) y el edificio de parqueos,9.938029607676915,-84.04237892478906,SRID=4326;POINT (-84.04237892478906 9.938029607676915),east,bUCR_0,https://bus.ucr.ac.cr/paradas/bUCR_0_07,0,bUCR_CS,2,no,no,no,no,no
bUCR_0_08,INIE,,Costado sur del edificio del Instituto de Investigación en Educación (INIE),9.939451647823137,-84.04307776266035,SRID=4326;POINT (-84.04307776266035 9.939451647823137),west,bUCR_0,https://bus.ucr.ac.cr/paradas/bUCR_0_08,0,,2,no,no,no,no,no
bUCR_0_09,CICICA,,Costado sur del edificio del Centro de Investigación en Cirugía y Cáncer (CICICA),9.940155168862551,-84.04450675690296,SRID=4326;POINT (-84.04450675690296 9.940155168862551),west,bUCR_0,https://bus.ucr.ac.cr/paradas/bUCR_0_09,0,,2,no,no,no,no,no
bUCR_0_10,OBS,,Entre el nuevo edificio de la Oficina de Bienestar y Salud (OBS) y el Estadio Ecológico,9.943761220391434,-84.04468346245408,SRID=4326;POINT (-84.04468346245408 9.943761220391434),north,bUCR_0,https://bus.ucr.ac.cr/paradas/bUCR_0_10,0,,2,no,no,no,no,no
bUCR_0_11,Odontología,,En el nuevo edificio de la Facultad de Odontología (FOd) en la Finca 3,9.946441050827925,-84.0451915613564,SRID=4326;POINT (-84.0451915613564 9.946441050827925),north,bUCR_0,https://bus.ucr.ac.cr/paradas/bUCR_0_11,0,,2,no,no,no,no,no
bUCR_1_01,Odontología,,En el nuevo edificio de la Facultad de Odontología (FOd) en la Finca 3,9.946529500847424,-84.04535458313804,SRID=4326;POINT (-84.04535458313804 9.946529500847424),south,bUCR_1,https://bus.ucr.ac.cr/paradas/bUCR_1_01,0,,2,no,no,no,no,no
bUCR_1_02,EDUFI,,Costado este de las canchas multiuso y de la Escuela de Educación Física y Deportes (EDUFI),9.943381444081362,-84.04495180739714,SRID=4326;POINT (-84.04495180739714 9.943381444081362),south,bUCR_1,https://bus.ucr.ac.cr/paradas/bUCR_1_02,0,,2,yes,yes,yes,no,yes
bUCR_1_03,Nutrición,,Esquina noreste del edificio de la Escuela de Nutrición (ENu),9.939134591559855,-84.04468654565294,SRID=4326;POINT (-84.04468654565294 9.939134591559855),southwest,bUCR_1,https://bus.ucr.ac.cr/paradas/bUCR_1_03,0,,2,no,no,no,no,no
bUCR_1_04,CIMAR / Auditorio,,Entre el edificio de parqueos y el Centro de Investigación en Ciencias del Mar y Limnología (CIMAR) y el Auditorio de la Ciudad de la Investigación,9.938980381389706,-84.0436758508172,SRID=4326;POINT (-84.0436758508172 9.938980381389706),east,bUCR_1,https://bus.ucr.ac.cr/paradas/bUCR_1_04,0,,1,yes,yes,yes,no,no
bUCR_1_05,CIMPA,,Frente al edificio del Centro de Investigación en Matemática Pura y Aplicada (CIMPA),9.939472792042086,-84.042189216776,SRID=4326;POINT (-84.042189216776 9.939472792042086),east,bUCR_1,https://bus.ucr.ac.cr/paradas/bUCR_1_05,0,,2,no,no,no,no,no
bUCR_1_06,Ciencias Sociales,,Entre la Facultad de Ciencias Sociales (FCS) y el edificio de parqueos,9.938130529026141,-84.04229551510366,SRID=4326;POINT (-84.04229551510366 9.938130529026141),west,bUCR_1,https://bus.ucr.ac.cr/paradas/bUCR_1_06,0,bUCR_CS,1,yes,yes,yes,no,yes
bUCR_1_07,Ingeniería,B,"Costado norte del nuevo edificio de la Facultad de Ingeniería (FI), al otro lado de la calle",9.937468669419962,-84.04501822768842,SRID=4326;POINT (-84.04501822768842 9.937468669419962),southwest,bUCR_1,https://bus.ucr.ac.cr/paradas/bUCR_1_07,0,bUCR_FI,1,yes,yes,yes,no,yes
bUCR_1_08,LANAMME,,"Junto al parqueo del Centro de Transferencia Tecnológica (CTT), diagonal al Laboratorio Nacional de Materiales y Modelos Estructurales (LANAMME), al otro lado de la calle",9.93589305371453,-84.04546950911886,SRID=4326;POINT (-84.04546950911886 9.93589305371453),south,bUCR_1,https://bus.ucr.ac.cr/paradas/bUCR_1_08,0,bUCR_LA,2,no,no,no,no,no
